,Area,adshowurl,created_on,dianpingcount,householdpic,housetagarr,housetype,houseurl,maxarea,minarea,newCode,picAddress,price_num,price_unit,purpose,saling,tao,tejia,title,x,xiaoguotu,y,yidi,zongfen
0,gz,,2019-09-15 10:10:04.174134,121.0,,"['售完', '普通住宅', '小户型']",loupan,http://aoyuanyufeng.fang.com/,0.0,0.0,2811173152.0,//img11.soufunimg.com/viewimage/house/2017_07/26/M11/0B/68/ChCE4Fl4EUqIc2CqAAmTz2jlbqsAAnb8gOMsrYACZPn340/232x162.jpg,,,住宅,0.0,0.0,False,奥园誉峯,113.60750579833984,效果图,23.179752349853516,nan,3.8
1,gz,,2019-09-15 10:10:04.174134,173.0,<u>三居</u>&#10,"['在售', '独栋', ' 普通住宅']",loupan,http://nanshaaoyuan.fang.com/,455.0,198.0,2811085866.0,//imgs.soufunimg.com/viewimage/house/2016_09/19/gz/1474293194556_000/232x162.jpg,27000.0,元/平,住宅,1.0,0.0,False,南沙奥园,113.59613037109375,效果图,22.768474578857422,nan,3.6
2,gz,,2019-09-15 10:10:04.174134,47.0,<u>二居</u>&#10<u>三居</u>&#10<u>四居</u>&#10,"['待售', '普通住宅', ' 花园洋房']",loupan,http://feicuihujunay.fang.com/,140.0,105.0,2811174604.0,//imgwcs2.soufunimg.com/house/2019_07/11/467fb9d2-d310-49e0-8ce4-49dc961abf1b.jpg,,,住宅,2.0,0.0,False,奥园誉湖湾,113.22886657714844,效果图,23.37476921081543,nan,4.7
3,gz,,2019-09-15 10:10:04.174134,151.0,<u>四居</u>&#10<u>五居</u>&#10,"['在售', '普通住宅', '低密居所']",loupan,http://lianfengdajingay.fang.com/,320.0,170.0,2811172572.0,//img6n.soufunimg.com/viewimage/house/2016_09/27/M00/0B/08/wKgEUFfp3qSIdSiBAAL4gAO48yUAARPPABcs80AAviY017/232x162.jpg,26000.0,元/平,住宅,1.0,0.0,False,奥园·莲峰圣境,113.49968719482422,效果图,23.00224494934082,nan,4.1
4,gz,,2019-09-15 10:10:04.174134,41.0,<u>三居</u>&#10<u>四居</u>&#10,"['在售', '普通住宅', ' 购物中心']",loupan,http://173502.fang.com/,138.0,95.0,2811173502.0,//img11.soufunimg.com/viewimage/house/2018_07/03/M20/0D/F5/ChCE4Fs7h4-IUuDSAAQCAZCI0nYABDXfgEirRIABAIZ333/232x162.jpg,14300.0,元/平,住宅,1.0,0.0,False,奥园上林一品,112.96832275390625,效果图,23.061927795410156,1.0,4.0
5,gz,,2019-09-15 10:10:04.174134,70.0,<u>二居</u>&#10,"['在售', '其他', '品牌地产']",loupan,http://kangweiguangchangay.fang.com/,68.0,51.0,2812103750.0,//img11.soufunimg.com/viewimage/house/2017_08/19/M1E/0D/DB/ChCE4VmX0viISE55AAGPkP70bwQAArQ9QP5iaUAAY-o479/232x162.jpg,17500.0,元/平,写字楼,1.0,0.0,False,奥园康威广场,113.64033508300781,效果图,23.159547805786133,nan,3.4
6,gz,,2019-09-15 10:10:04.174134,3.0,,"['在售', '标准写字楼', '品牌地产']",loupan,http://aoyuanguangchanglg.fang.com/office/,0.0,0.0,2811172976.0,//img11.soufunimg.com/viewimage/house/2018_10/29/M00/10/36/ChCE4lvWp4SIVb-ZABLhj_iogxkABG4WAEyY0QAEuGn238/232x162.jpg,20000.0,元/平,写字楼,1.0,0.0,False,萝岗奥园广场,113.50379180908203,效果图,23.18050765991211,nan,4.8
7,gz,,2019-09-15 10:10:04.174134,13.0,<u>二居</u>&#10,"['在售', '普通住宅', ' 住宅底商']",loupan,http://174554.fang.com/,110.0,88.0,2811174554.0,//img11.soufunimg.com/viewimage/house/2018_11/13/M13/10/89/ChCE4lvqmnOIFEi_AALc3ZRfMq4ABHYxwPBuTAAAtz1496/232x162.jpg,7000.0,元/平,住宅,1.0,0.0,False,三水奥园尚居,112.86504364013672,效果图,23.504528045654297,1.0,4.0
8,gz,,2019-09-15 10:10:04.174134,31.0,<u>三居</u>&#10<u>四居</u>&#10,"['在售', '普通住宅', '山景地产']",loupan,http://173634.fang.com/,148.0,92.0,2811173634.0,//img11.soufunimg.com/viewimage/house/2018_07/09/M0B/0E/18/ChCE4ltDdFGIXN53AAX0B_2SN2YABDlJgE2StYABfQf459/232x162.jpg,7800.0,元/平,住宅,1.0,0.0,False,奥园汇源新都,113.0115737915039,效果图,22.79469108581543,1.0,4.2
9,gz,,2019-09-15 10:10:04.174134,22.0,<u>三居</u>&#10<u>四居</u>&#10,"['在售', '别墅', '品牌地产']",loupan,http://174326.fang.com/,142.0,109.0,2811174326.0,//img11.soufunimg.com/viewimage/house/2018_04/18/M1A/1B/E9/ChCE4VrW8iaId-ODAARWzix6nW0ABBN6ADLaGQABFbm152/232x162.jpg,13000.0,元/平,别墅,1.0,0.0,False,奥园英德心花小镇,113.39104461669922,效果图,24.311222076416016,1.0,3.9
10,gz,,2019-09-15 10:10:04.174134,27.0,<u>一居</u>&#10<u>二居</u>&#10<u>三居</u>&#10<u>四居</u>&#10,"['在售', '联排', ' 普通住宅']",loupan,http://174308.fang.com/,183.0,39.0,2811174308.0,//img11.soufunimg.com/viewimage/house/2018_07/26/M13/0E/7E/ChCE4FtZJBKIHTGyAA0w279NuCkABEM-QIlEGQADTDz969/232x162.jpg,7500.0,元/平,住宅,1.0,0.0,False,奥园泉林黄金小镇,112.38427734375,效果图,22.168643951416016,1.0,3.9
11,gz,,2019-09-15 10:10:04.174134,73.0,,"['售完', '普通住宅', '客厅朝南']",loupan,http://linkengongyuanlg020.fang.com/,0.0,0.0,2811173266.0,//img11.soufunimg.com/viewimage/house/2017_10/18/M0B/12/E7/ChCE4lnmyI6IAtIkAAOt_Hy3Kx0AAzJegMDHhMAA64U272/232x162.jpg,,,住宅,0.0,0.0,False,南沙蓝光·林肯公园,113.54795837402344,效果图,22.803747177124023,nan,4.0
0,gz,,2019-09-15 10:10:05.728049,173.0,<u>三居</u>&#10,"['在售', '独栋', ' 普通住宅']",loupan,http://nanshaaoyuan.fang.com/,455.0,198.0,2811085866.0,//imgs.soufunimg.com/viewimage/house/2016_09/19/gz/1474293194556_000/232x162.jpg,27000.0,元/平,住宅,1.0,0.0,False,南沙奥园,113.59613037109375,效果图,22.768474578857422,,3.6
0,gz,,2019-09-15 10:10:06.804118,3.0,,"['在售', '标准写字楼', '品牌地产']",loupan,http://aoyuanguangchanglg.fang.com/office/,0.0,0.0,2811172976.0,//img11.soufunimg.com/viewimage/house/2018_10/29/M00/10/36/ChCE4lvWp4SIVb-ZABLhj_iogxkABG4WAEyY0QAEuGn238/232x162.jpg,20000.0,元/平,写字楼,1.0,0.0,False,萝岗奥园广场,113.50379180908203,效果图,23.18050765991211,,4.8
0,gz,,2019-09-15 10:10:15.353848,70.0,<u>二居</u>&#10,"['在售', '其他', '品牌地产']",loupan,http://kangweiguangchangay.fang.com/,68.0,51.0,2812103750.0,//img11.soufunimg.com/viewimage/house/2017_08/19/M1E/0D/DB/ChCE4VmX0viISE55AAGPkP70bwQAArQ9QP5iaUAAY-o479/232x162.jpg,17500.0,元/平,写字楼,1.0,0.0,False,奥园康威广场,113.64033508300781,效果图,23.159547805786133,,3.4
0,gz,,2019-09-15 10:10:15.724235,3.0,,"['在售', '标准写字楼', '品牌地产']",loupan,http://aoyuanguangchanglg.fang.com/office/,0.0,0.0,2811172976.0,//img11.soufunimg.com/viewimage/house/2018_10/29/M00/10/36/ChCE4lvWp4SIVb-ZABLhj_iogxkABG4WAEyY0QAEuGn238/232x162.jpg,20000.0,元/平,写字楼,1.0,0.0,False,萝岗奥园广场,113.50379180908203,效果图,23.18050765991211,,4.8
0,gz,,2019-09-15 10:10:16.016090,151.0,<u>四居</u>&#10<u>五居</u>&#10,"['在售', '普通住宅', '低密居所']",loupan,http://lianfengdajingay.fang.com/,320.0,170.0,2811172572.0,//img6n.soufunimg.com/viewimage/house/2016_09/27/M00/0B/08/wKgEUFfp3qSIdSiBAAL4gAO48yUAARPPABcs80AAviY017/232x162.jpg,26000.0,元/平,住宅,1.0,0.0,False,奥园·莲峰圣境,113.49968719482422,效果图,23.00224494934082,,4.1
